Date,Volume_Mn,MoM_Growth_%,Rolling_Mean_6m,Is_Spike
2024-06-01,13885.14,-1.0736799507546468,13161.776666666667,False
2024-07-01,14435.55,3.9640219688098277,13533.865,False
2024-08-01,14963.05,3.6541732043462227,14010.595,False
2024-09-01,15041.75,0.5259622871005565,14277.553333333331,False
2024-10-01,16584.97,10.259577509265894,14824.383333333331,False
2024-11-01,15482.02,-6.650298432858193,15065.413333333332,False
2024-12-01,16730.01,8.060899029971536,15539.558333333332,False
2025-01-01,16996.0,1.5898974358054874,15966.299999999997,False
2025-02-01,16106.19,-5.235408331372082,16156.823333333334,False
2025-03-01,18301.51,13.630287485743043,16700.11666666667,False
2025-04-01,17893.42,-2.2298160097172337,16918.191666666666,False
2025-05-01,18677.46,4.381722443222147,17450.765,False
2025-06-01,18395.01,-1.512250595102338,17728.265,False
2025-07-01,19467.95,5.832777476065543,18140.256666666668,False
